keys,en,zh,de
# Stats Labels,,,
STAT_REALITY,Reality Score,現實值,Realitätswert
STAT_POSITIVE,Positive Energy,正能量,Positive Energie
STAT_ENTROPY,Entropy Level,熵等級,Entropieniveau
# Skill Labels,,,
SKILL_LOGIC,Logic,邏輯,Logik
SKILL_PERCEPTION,Perception,感知,Wahrnehmung
SKILL_COMPOSURE,Composure,沉著,Gelassenheit
SKILL_EMPATHY,Empathy,共情,Empathie
# Entropy Level Labels,,,
ENTROPY_LEVEL_LOW,Stable,穩定,Stabil
ENTROPY_LEVEL_MEDIUM,Unstable,不穩定,Instabil
ENTROPY_LEVEL_HIGH,Chaotic,混沌,Chaotisch
ENTROPY_LEVEL_UNKNOWN,Unknown,未知,Unbekannt
# Teammate Labels,,,
TEAMMATE_GLORIA,Saint Gloria,聖母 Gloria,Heilige Gloria
TEAMMATE_DONKEY,Knight Donkey,榮光騎士 Donkey,Ritter Esel
TEAMMATE_ARK,Archivist ARK,秩序使徒 ARK,Archivar ARK
TEAMMATE_ONE,One,One,Eins
# Phase Labels,,,
PHASE_HONEYMOON,Honeymoon Phase,蜜月期,Flitterwochenphase
PHASE_NORMAL,Normal Phase,常態期,Normale Phase
PHASE_CRISIS,Crisis Phase,危機期,Krisenphase
# Reason Translations,,,
REASON_POSITIVE_CURSE,Positive Energy Curse,正能量詛咒,Positiver Energiefluch
REASON_PRAYER_AFTERSHOCK,Prayer aftershock,禱告餘震,Gebet Nachbeben
REASON_GLORIA_ACCUSATION,Gloria's negative-energy accusation,Gloria的負能量控訴,Glorias Vorwurf der negativen Energie
REASON_TEACHER_CONCERT,Teacher Chan's apocalypse concert,陳老師的天啟演唱會,Das Apokalypse-Konzert von Lehrer Chan
REASON_FORCED_ECHO,Forced to echo Gloria,被迫附和聖母,"Gezwungen, Gloria zu wiederholen"
REASON_MISSION_SUCCESS,"Mission ""success"" backlash",任務「成功」,Mission „Erfolg“-Gegenreaktion
REASON_MISSION_AFTERSHOCK,Mission aftershock,任務餘波,Nachbeben der Mission
# Event Messages,,,
EVENT_REALITY_CHANGE,Reality score change: %s,現實值變化: %s,Änderung des Reality-Scores: %s
EVENT_POSITIVE_CHANGE,Positive energy change: %s,正能量值變化: %s,Positive Energieänderung: %s
EVENT_ENTROPY_SURGE,World entropy surge: %s,世界熵增加速: %s,Weltweiter Entropieanstieg: %s
EVENT_MISSION_STARTED,Mission #%s started,開始任務 #%s,Mission #%s gestartet
EVENT_MISSION_COMPLETE,Mission #%s completed (%s),任務完成 #%s（成功：%s）,Mission #%s abgeschlossen (%s)
EVENT_PHASE_CHANGED,Game phase changed: %s,遊戲階段變更: %s,Spielphase geändert: %s
EVENT_HONEYMOON_CHARGE,Honeymoon charge -1,蜜月層數 -1,Flitterwochengebühr -1
EVENT_HONEYMOON_DEPLETED,Honeymoon phase depleted; teammates reveal their true nature,蜜月期耗盡，隊友恢復真面目,Flitterwochenphase abgelaufen; Teamkollegen offenbaren ihre wahre Natur
EVENT_HONEYMOON_RESET,Honeymoon charges reset to 5,蜜月期層數重置為 5,Die Gebühren für Flitterwochen wurden auf 5 zurückgesetzt
EVENT_SKILL_CHECK_FAILED,"Skill check failed: %s vs DC %d (roll %d, total %d)",技能檢定失敗：%s vs DC %d（擲骰 %d，總計 %d）,"Fertigkeitsprüfung fehlgeschlagen: %s gegen DC %d (Wurf %d, gesamt %d)"
EVENT_PRAYER_RECORDED,"Prayer recorded: ""%s%s""",記錄祈禱：「%s%s」,Gebet aufgezeichnet: „%s%s“
EVENT_TEAMMATE_INTERFERENCE_WORSE,Teammate interference: %s made things worse,隊友干擾：%s 讓事情變得更糟,Einmischung von Teamkollegen: %s hat alles noch schlimmer gemacht
EVENT_PRAYER_LOGGED,"Prayer logged: ""%s"" | Reality %d, Positive %d",祈禱記錄：「%s」 | 現實值 %d，正能量 %d,"Gebet protokolliert: „%s“ | Realität %d, Positiv %d"
EVENT_TEAMMATE_INTERFERENCE_ESCALATED,Teammate interference: %s escalated the situation.,隊友干擾：%s 讓情況升級。,Einmischung von Teamkollegen: %s hat die Situation eskaliert.
# Status,,,
STATUS_SUCCESS,success,是,Erfolg
STATUS_FAILED,failed,否,fehlgeschlagen
# Error Contexts (for ErrorReporter),,,
ERROR_CONTEXT_SaveSystem,Save System,存檔系統,System speichern
ERROR_CONTEXT_SaveLoadSystem,Save/Load System,存檔系統,System speichern/laden
ERROR_CONTEXT_AssetLoader,Asset Loader,資源加載器,Asset-Loader
ERROR_CONTEXT_AudioManager,Audio Manager,音頻管理器,Audio-Manager
ERROR_CONTEXT_AIManager,AI Manager,AI 管理器,KI-Manager
ERROR_CONTEXT_GameState,Game State,遊戲狀態,Spielstatus
ERROR_CONTEXT_LocalizationManager,Localization Manager,本地化管理器,Lokalisierungsmanager
ERROR_CONTEXT_EventBus,Event Bus,事件總線,Veranstaltungsbus
ERROR_CONTEXT_StoryScene,Story Scene,劇情場景,Story-Szene
ERROR_CONTEXT_NetworkManager,Network Manager,網絡管理器,Netzwerkmanager
# Error Icons,,,
ERROR_ICON_INFO,,,
ERROR_ICON_WARNING,,,
ERROR_ICON_ERROR,,,
ERROR_ICON_CRITICAL,,,
# NPC Names,,,
NPC_generic_villager_male,Villager (Male),男性村民,Dorfbewohner (männlich)
NPC_generic_villager_female,Villager (Female),女性村民,Dorfbewohner (weiblich)
NPC_generic_guard,Guard,守衛,Bewachen
NPC_generic_merchant,Merchant,商人,Händler
NPC_generic_elder,Elder,長者,Ältere
NPC_generic_child,Child,兒童,Kind
NPC_generic_priest,Priest,神職人員,Priester
NPC_generic_scientist,Scientist,科學家,Wissenschaftler
NPC_unknown,NPC,角色,NPC
# Tutorial Texts,,,
TUTORIAL_first_choice,Make your choice. But remember: in this world good intentions often backfire.,做出你的首次選擇。記住：這裡的善意常常適得其反。,Triff deine Wahl. Aber denk daran: In dieser Welt gehen gute Absichten oft nach hinten los.
TUTORIAL_first_stat_change,Watch your Reality score. When it drops to 0 the game is over.,注意現實值。降到 0 時，遊戲立刻結束。,"Beobachte deinen Reality-Score. Wenn er auf 0 fällt, ist das Spiel vorbei."
TUTORIAL_first_prayer,The prayer system lets you input positive wishes... then watch them turn into disasters.,祈禱系統會把美好願望扭曲成災難，靜待反諷上演。,"Mit dem Gebetssystem kannst du positive Wünsche eingeben ... und dann zusehen, wie sie sich in Katastrophen verwandeln."
